gene_identifier,gene_symbol,name,mapped_ncbi_identifier
ENSMUSG00000026639,Lamb3,"laminin, beta 3",NCBIGene:16780
ENSMUSG00000027859,Ngf,nerve growth factor,NCBIGene:18049
ENSMUSG00000005892,Trh,thyrotropin releasing hormone,NCBIGene:22044
ENSMUSG00000021919,Chat,choline acetyltransferase,NCBIGene:12647
ENSMUSG00000044317,Gpr4,G protein-coupled receptor 4,NCBIGene:319197
ENSMUSG00000021032,Ngb,neuroglobin,NCBIGene:64242
ENSMUSG00000049436,Upk1b,uroplakin 1B,NCBIGene:22268
ENSMUSG00000040016,Ptger3,prostaglandin E receptor 3 (subtype EP3),NCBIGene:19218
ENSMUSG00000029123,Stk32b,serine/threonine kinase 32B,NCBIGene:64293
ENSMUSG00000036357,Gpr101,G protein-coupled receptor 101,NCBIGene:245424
ENSMUSG00000026668,Ucma,upper zone of growth plate and cartilage matrix associated,NCBIGene:68527
ENSMUSG00000071984,Fndc1,fibronectin type III domain containing 1,NCBIGene:68655
ENSMUSG00000053747,Sox14,SRY (sex determining region Y)-box 14,NCBIGene:20669
ENSMUSG00000033740,St18,suppression of tumorigenicity 18,NCBIGene:240690
ENSMUSG00000050377,Il31ra,interleukin 31 receptor A,NCBIGene:218624
ENSMUSG00000091002,Tcerg1l,transcription elongation regulator 1-like,NCBIGene:70571
ENSMUSG00000043144,Aqp6,aquaporin 6,NCBIGene:11831
ENSMUSG00000002688,Prkd1,protein kinase D1,NCBIGene:18760
ENSMUSG00000029101,Rgs12,regulator of G-protein signaling 12,NCBIGene:71729
ENSMUSG00000051354,Samd3,sterile alpha motif domain containing 3,NCBIGene:268288
ENSMUSG00000004415,Col26a1,"collagen, type XXVI, alpha 1",NCBIGene:140709
ENSMUSG00000020000,Moxd1,"monooxygenase, DBH-like 1",NCBIGene:59012
ENSMUSG00000045092,S1pr1,sphingosine-1-phosphate receptor 1,NCBIGene:13609
ENSMUSG00000046982,Tshz1,teashirt zinc finger family member 1,NCBIGene:110796
ENSMUSG00000001985,Grik3,"glutamate receptor, ionotropic, kainate 3",NCBIGene:14807
ENSMUSG00000000766,Oprm1,"opioid receptor, mu 1",NCBIGene:18390
ENSMUSG00000097516,4930467D21Rik,RIKEN cDNA 4930467D21 gene,
ENSMUSG00000031552,Adam18,a disintegrin and metallopeptidase domain 18,NCBIGene:13524
ENSMUSG00000031738,Irx6,Iroquois homeobox 6,NCBIGene:64379
ENSMUSG00000027253,Lrp4,low density lipoprotein receptor-related protein 4,NCBIGene:228357
ENSMUSG00000042064,Myo3b,myosin IIIB,NCBIGene:329421
ENSMUSG00000000889,Dbh,dopamine beta hydroxylase,NCBIGene:13166
ENSMUSG00000045518,Onecut3,"one cut domain, family member 3",NCBIGene:246086
ENSMUSG00000020651,Slc26a4,"solute carrier family 26, member 4",NCBIGene:23985
ENSMUSG00000016494,Cd34,CD34 antigen,NCBIGene:12490
ENSMUSG00000028927,Padi2,"peptidyl arginine deiminase, type II",NCBIGene:18600
ENSMUSG00000085562,2610028E06Rik,RIKEN cDNA 2610028E06 gene,NCBIGene:72395
ENSMUSG00000031283,Chrdl1,chordin-like 1,NCBIGene:83453
ENSMUSG00000115432,D130009I18Rik,RIKEN cDNA D130009I18 gene,NCBIGene:320249
ENSMUSG00000024211,Grm8,"glutamate receptor, metabotropic 8",NCBIGene:14823
ENSMUSG00000071317,Bves,blood vessel epicardial substance,NCBIGene:23828
ENSMUSG00000031688,Pou4f2,"POU domain, class 4, transcription factor 2",NCBIGene:18997
ENSMUSG00000041741,Pde3a,"phosphodiesterase 3A, cGMP inhibited",NCBIGene:54611
ENSMUSG00000033006,Sox10,SRY (sex determining region Y)-box 10,NCBIGene:20665
ENSMUSG00000058624,Gda,guanine deaminase,NCBIGene:14544
ENSMUSG00000019768,Esr1,estrogen receptor 1 (alpha),NCBIGene:13982
ENSMUSG00000028876,Epha10,Eph receptor A10,NCBIGene:230735
ENSMUSG00000029026,Trp73,transformation related protein 73,NCBIGene:22062
ENSMUSG00000020891,Alox8,arachidonate 8-lipoxygenase,NCBIGene:11688
ENSMUSG00000042115,Klhdc8a,kelch domain containing 8A,NCBIGene:213417
ENSMUSG00000043441,Gpr149,G protein-coupled receptor 149,NCBIGene:229357
ENSMUSG00000019803,Nr2e1,"nuclear receptor subfamily 2, group E, member 1",NCBIGene:21907
ENSMUSG00000073154,9330158H04Rik,RIKEN cDNA 9330158H04 gene,NCBIGene:319472
ENSMUSG00000025776,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,NCBIGene:83691
ENSMUSG00000022041,Chrna2,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",NCBIGene:110902
ENSMUSG00000005973,Rcn1,reticulocalbin 1,NCBIGene:19672
ENSMUSG00000091712,Sec14l5,SEC14-like lipid binding 5,NCBIGene:665119
ENSMUSG00000021998,Lcp1,lymphocyte cytosolic protein 1,NCBIGene:18826
ENSMUSG00000031616,Ednra,endothelin receptor type A,NCBIGene:13617
ENSMUSG00000086236,5830418P13Rik,RIKEN cDNA 5830418P13 gene,NCBIGene:100529079
ENSMUSG00000058260,Serpina9,"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9",NCBIGene:71907
ENSMUSG00000009734,Pou6f2,"POU domain, class 6, transcription factor 2",NCBIGene:218030
ENSMUSG00000017493,Igfbp4,insulin-like growth factor binding protein 4,NCBIGene:16010
ENSMUSG00000041771,Slc24a4,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 4",NCBIGene:238384
ENSMUSG00000026468,Lhx4,LIM homeobox protein 4,NCBIGene:16872
ENSMUSG00000074852,Hpse2,heparanase 2,NCBIGene:545291
ENSMUSG00000015812,Gnrh1,gonadotropin releasing hormone 1,NCBIGene:14714
ENSMUSG00000050447,Lypd6,LY6/PLAUR domain containing 6,NCBIGene:320343
ENSMUSG00000053007,Creb5,cAMP responsive element binding protein 5,NCBIGene:231991
ENSMUSG00000060735,Rxfp3,relaxin family peptide receptor 3,NCBIGene:239336
ENSMUSG00000046314,Stxbp6,syntaxin binding protein 6 (amisyn),NCBIGene:217517
ENSMUSG00000032281,Acsbg1,acyl-CoA synthetase bubblegum family member 1,NCBIGene:94180
ENSMUSG00000035277,Arx,aristaless related homeobox,NCBIGene:11878
ENSMUSG00000055116,Arntl,aryl hydrocarbon receptor nuclear translocator-like,NCBIGene:11865
ENSMUSG00000049420,Tmem200a,transmembrane protein 200A,NCBIGene:77220
ENSMUSG00000061718,Ppp1r1b,"protein phosphatase 1, regulatory inhibitor subunit 1B",NCBIGene:19049
ENSMUSG00000050473,Slc35d3,"solute carrier family 35, member D3",NCBIGene:76157
ENSMUSG00000019846,Lama4,"laminin, alpha 4",NCBIGene:16775
ENSMUSG00000048138,Dmrt2,doublesex and mab-3 related transcription factor 2,NCBIGene:226049
ENSMUSG00000027559,Car3,carbonic anhydrase 3,NCBIGene:12350
ENSMUSG00000028214,Gem,GTP binding protein (gene overexpressed in skeletal muscle),NCBIGene:14579
ENSMUSG00000000567,Sox9,SRY (sex determining region Y)-box 9,NCBIGene:20682
ENSMUSG00000085139,A730046J19Rik,RIKEN cDNA A730046J19 gene,NCBIGene:319764
ENSMUSG00000069132,Nxph2,neurexophilin 2,NCBIGene:18232
ENSMUSG00000010476,Ebf3,early B cell factor 3,NCBIGene:13593
ENSMUSG00000005583,Mef2c,myocyte enhancer factor 2C,NCBIGene:17260
ENSMUSG00000037653,Kctd8,potassium channel tetramerisation domain containing 8,NCBIGene:243043
ENSMUSG00000020052,Ascl1,achaete-scute family bHLH transcription factor 1,NCBIGene:17172
ENSMUSG00000029381,Shroom3,shroom family member 3,NCBIGene:27428
ENSMUSG00000053846,Lipg,"lipase, endothelial",NCBIGene:16891
ENSMUSG00000074345,Tnfaip8l3,"tumor necrosis factor, alpha-induced protein 8-like 3",NCBIGene:244882
ENSMUSG00000049112,Oxtr,oxytocin receptor,NCBIGene:18430
ENSMUSG00000046500,Tafa4,TAFA chemokine like family member 4,NCBIGene:320701
ENSMUSG00000028602,Tnfrsf8,"tumor necrosis factor receptor superfamily, member 8",NCBIGene:21941
ENSMUSG00000050600,Zfp831,zinc finger protein 831,NCBIGene:100043757
ENSMUSG00000018819,Lsp1,lymphocyte specific 1,NCBIGene:16985
ENSMUSG00000019139,Isyna1,myo-inositol 1-phosphate synthase A1,NCBIGene:71780
ENSMUSG00000030235,Slco1c1,"solute carrier organic anion transporter family, member 1c1",NCBIGene:58807
ENSMUSG00000090125,Pou3f1,"POU domain, class 3, transcription factor 1",NCBIGene:18991
ENSMUSG00000026676,Ccdc3,coiled-coil domain containing 3,NCBIGene:74186
ENSMUSG00000034009,Rxfp1,relaxin/insulin-like family peptide receptor 1,NCBIGene:381489
ENSMUSG00000015134,Aldh1a3,"aldehyde dehydrogenase family 1, subfamily A3",NCBIGene:56847
ENSMUSG00000026826,Nr4a2,"nuclear receptor subfamily 4, group A, member 2",NCBIGene:18227
ENSMUSG00000023067,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),NCBIGene:12575
ENSMUSG00000052430,Bmpr1b,"bone morphogenetic protein receptor, type 1B",NCBIGene:12167
ENSMUSG00000019647,Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",NCBIGene:20358
ENSMUSG00000035451,Foxa1,forkhead box A1,NCBIGene:15375
ENSMUSG00000025068,Gsto1,glutathione S-transferase omega 1,NCBIGene:14873
ENSMUSG00000061086,Myl4,"myosin, light polypeptide 4",NCBIGene:17896
ENSMUSG00000035357,Pdzrn3,PDZ domain containing RING finger 3,NCBIGene:55983
ENSMUSG00000026042,Col5a2,"collagen, type V, alpha 2",NCBIGene:12832
ENSMUSG00000070366,Plpp4,phospholipid phosphatase 4,NCBIGene:381925
ENSMUSG00000022021,Diaph3,diaphanous related formin 3,NCBIGene:56419
ENSMUSG00000044071,Tafa2,TAFA chemokine like family member 2,NCBIGene:268354
ENSMUSG00000078591,Hs3st4,heparan sulfate (glucosamine) 3-O-sulfotransferase 4,NCBIGene:628779
ENSMUSG00000039405,Prss23,"protease, serine 23",NCBIGene:76453
ENSMUSG00000050953,Gja1,"gap junction protein, alpha 1",NCBIGene:14609
ENSMUSG00000035493,Tgfbi,"transforming growth factor, beta induced",NCBIGene:21810
ENSMUSG00000027849,Syt6,synaptotagmin VI,NCBIGene:54524
ENSMUSG00000049314,Fbxw13,F-box and WD-40 domain protein 13,NCBIGene:211305
ENSMUSG00000053399,Adamts18,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18",NCBIGene:208936
ENSMUSG00000045509,Gpr150,G protein-coupled receptor 150,NCBIGene:238725
ENSMUSG00000031112,Stk26,serine/threonine kinase 26,NCBIGene:70415
ENSMUSG00000035551,Igfbpl1,insulin-like growth factor binding protein-like 1,NCBIGene:75426
ENSMUSG00000043673,Kcns3,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",NCBIGene:238076
ENSMUSG00000102692,Dchs2,dachsous cadherin related 2,NCBIGene:100534287
ENSMUSG00000036422,Pcdh8,protocadherin 8,NCBIGene:18530
ENSMUSG00000025932,Eya1,EYA transcriptional coactivator and phosphatase 1,NCBIGene:14048
ENSMUSG00000042501,Cpa6,carboxypeptidase A6,NCBIGene:329093
ENSMUSG00000027737,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",NCBIGene:26570
ENSMUSG00000026249,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2",NCBIGene:20720
ENSMUSG00000035506,Slc12a8,"solute carrier family 12 (potassium/chloride transporters), member 8",NCBIGene:171286
ENSMUSG00000056427,Slit3,slit guidance ligand 3,NCBIGene:20564
ENSMUSG00000040125,Gpr26,G protein-coupled receptor 26,NCBIGene:233919
ENSMUSG00000066197,Gpr139,G protein-coupled receptor 139,NCBIGene:209776
ENSMUSG00000021478,Drd1,dopamine receptor D1,NCBIGene:13488
ENSMUSG00000030905,Crym,"crystallin, mu",NCBIGene:12971
ENSMUSG00000037625,Cldn11,claudin 11,NCBIGene:18417
ENSMUSG00000040856,Dlk1,delta like non-canonical Notch ligand 1,NCBIGene:13386
ENSMUSG00000063439,B9d2,B9 protein domain 2,NCBIGene:232987
ENSMUSG00000041710,Trpc5,"transient receptor potential cation channel, subfamily C, member 5",NCBIGene:22067
ENSMUSG00000027188,Pamr1,peptidase domain containing associated with muscle regeneration 1,NCBIGene:210622
ENSMUSG00000043659,Npsr1,neuropeptide S receptor 1,NCBIGene:319239
ENSMUSG00000021221,Dpf3,"D4, zinc and double PHD fingers, family 3",NCBIGene:70127
ENSMUSG00000044393,Dsg2,desmoglein 2,NCBIGene:13511
ENSMUSG00000004151,Etv1,ets variant 1,NCBIGene:14009
ENSMUSG00000024521,Pmaip1,phorbol-12-myristate-13-acetate-induced protein 1,NCBIGene:58801
ENSMUSG00000001870,Ltbp1,latent transforming growth factor beta binding protein 1,NCBIGene:268977
ENSMUSG00000041828,Abca8a,"ATP-binding cassette, sub-family A (ABC1), member 8a",NCBIGene:217258
ENSMUSG00000032446,Eomes,eomesodermin,NCBIGene:13813
ENSMUSG00000031654,Cbln1,cerebellin 1 precursor protein,NCBIGene:12404
ENSMUSG00000031075,Ano1,"anoctamin 1, calcium activated chloride channel",NCBIGene:101772
ENSMUSG00000045246,Kcng4,"potassium voltage-gated channel, subfamily G, member 4",NCBIGene:66733
ENSMUSG00000028364,Tnc,tenascin C,NCBIGene:21923
ENSMUSG00000003657,Calb2,calbindin 2,NCBIGene:12308
ENSMUSG00000059203,Il1rapl2,interleukin 1 receptor accessory protein-like 2,NCBIGene:60367
ENSMUSG00000029304,Spp1,secreted phosphoprotein 1,NCBIGene:20750
ENSMUSG00000040998,Npnt,nephronectin,NCBIGene:114249
ENSMUSG00000030093,Wnt7a,"wingless-type MMTV integration site family, member 7A",NCBIGene:22421
ENSMUSG00000039081,Zfp503,zinc finger protein 503,NCBIGene:218820
ENSMUSG00000021099,Six6,sine oculis-related homeobox 6,NCBIGene:20476
ENSMUSG00000069793,Slfn9,schlafen 9,NCBIGene:237886
ENSMUSG00000032087,Dscaml1,DS cell adhesion molecule like 1,NCBIGene:114873
ENSMUSG00000061013,Mkx,mohawk homeobox,NCBIGene:210719
ENSMUSG00000039809,Gabbr2,"gamma-aminobutyric acid (GABA) B receptor, 2",NCBIGene:242425
ENSMUSG00000074802,Gas2l3,growth arrest-specific 2 like 3,NCBIGene:237436
ENSMUSG00000046561,Arsj,arylsulfatase J,NCBIGene:271970
ENSMUSG00000026479,Lamc2,"laminin, gamma 2",NCBIGene:16782
ENSMUSG00000019848,Popdc3,popeye domain containing 3,NCBIGene:78977
ENSMUSG00000024084,Qpct,glutaminyl-peptide cyclotransferase (glutaminyl cyclase),NCBIGene:70536
ENSMUSG00000005917,Otx1,orthodenticle homeobox 1,NCBIGene:18423
ENSMUSG00000048402,Gli2,GLI-Kruppel family member GLI2,NCBIGene:14633
ENSMUSG00000004872,Pax3,paired box 3,NCBIGene:18505
ENSMUSG00000058665,En1,engrailed 1,NCBIGene:13798
ENSMUSG00000020428,Gabra6,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6",NCBIGene:14399
ENSMUSG00000087095,Emx2os,Emx2 opposite strand/antisense transcript (non-protein coding),NCBIGene:329078
ENSMUSG00000049892,Rasd1,"RAS, dexamethasone-induced 1",NCBIGene:19416
ENSMUSG00000025268,Maged2,"melanoma antigen, family D, 2",NCBIGene:80884
ENSMUSG00000026414,Tnnt2,"troponin T2, cardiac",NCBIGene:21956
ENSMUSG00000104586,4921539H07Rik,RIKEN cDNA 4921539H07 gene,
ENSMUSG00000050100,Hmx2,H6 homeobox 2,NCBIGene:15372
ENSMUSG00000023064,Sncg,"synuclein, gamma",NCBIGene:20618
ENSMUSG00000039115,Itga9,integrin alpha 9,NCBIGene:104099
ENSMUSG00000003418,St8sia6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",NCBIGene:241230
ENSMUSG00000020566,Atp6v1c2,"ATPase, H+ transporting, lysosomal V1 subunit C2",NCBIGene:68775
ENSMUSG00000074575,Kcng1,"potassium voltage-gated channel, subfamily G, member 1",NCBIGene:241794
ENSMUSG00000013611,Snx31,sorting nexin 31,NCBIGene:66696
ENSMUSG00000042793,Lgr6,leucine-rich repeat-containing G protein-coupled receptor 6,NCBIGene:329252
ENSMUSG00000084757,1700057H15Rik,RIKEN cDNA 1700057H15 gene,
ENSMUSG00000034098,Fstl5,follistatin-like 5,NCBIGene:213262
ENSMUSG00000039116,Adgrg6,adhesion G protein-coupled receptor G6,NCBIGene:215798
ENSMUSG00000037664,Cdkn1c,cyclin-dependent kinase inhibitor 1C (P57),NCBIGene:12577
ENSMUSG00000032265,Tent5a,terminal nucleotidyltransferase 5A,NCBIGene:212943
ENSMUSG00000031119,Gpc4,glypican 4,NCBIGene:14735
ENSMUSG00000070469,Adamtsl3,ADAMTS-like 3,NCBIGene:269959
ENSMUSG00000030898,Cckbr,cholecystokinin B receptor,NCBIGene:12426
ENSMUSG00000044681,Cnpy1,canopy FGF signaling regulator 1,NCBIGene:269637
ENSMUSG00000041120,Nbl1,"NBL1, DAN family BMP antagonist",NCBIGene:17965
ENSMUSG00000048988,Elfn1,"leucine rich repeat and fibronectin type III, extracellular 1",NCBIGene:243312
ENSMUSG00000036466,Megf11,multiple EGF-like-domains 11,NCBIGene:214058
ENSMUSG00000053441,Adamts19,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19",NCBIGene:240322
ENSMUSG00000030249,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",NCBIGene:20928
ENSMUSG00000032348,Gsta4,"glutathione S-transferase, alpha 4",NCBIGene:14860
ENSMUSG00000025592,Dach2,dachshund family transcription factor 2,NCBIGene:93837
ENSMUSG00000091898,Tnnc1,"troponin C, cardiac/slow skeletal",NCBIGene:21924
ENSMUSG00000054160,Nkx2-4,NK2 homeobox 4,NCBIGene:228731
ENSMUSG00000026765,Lypd6b,LY6/PLAUR domain containing 6B,NCBIGene:71897
ENSMUSG00000041565,L3mbtl4,L3MBTL4 histone methyl-lysine binding protein,NCBIGene:320858
ENSMUSG00000048424,Ranbp3l,RAN binding protein 3-like,NCBIGene:223332
ENSMUSG00000021685,Otp,orthopedia homeobox,NCBIGene:18420
ENSMUSG00000028341,Nr4a3,"nuclear receptor subfamily 4, group A, member 3",NCBIGene:18124
ENSMUSG00000022514,Il1rap,interleukin 1 receptor accessory protein,NCBIGene:16180
ENSMUSG00000001815,Evx2,even-skipped homeobox 2,NCBIGene:14029
ENSMUSG00000052133,Sema5b,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B",NCBIGene:20357
ENSMUSG00000041730,Prrxl1,paired related homeobox protein-like 1,NCBIGene:107751
ENSMUSG00000042453,Reln,reelin,NCBIGene:19699
ENSMUSG00000039087,Rreb1,ras responsive element binding protein 1,NCBIGene:68750
ENSMUSG00000020733,Slc9a3r1,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1",NCBIGene:26941
ENSMUSG00000063600,Egfem1,EGF-like and EMI domain containing 1,NCBIGene:75740
ENSMUSG00000016386,Mpped2,metallophosphoesterase domain containing 2,NCBIGene:77015
ENSMUSG00000024076,Vit,vitrin,NCBIGene:74199
ENSMUSG00000018698,Lhx1,LIM homeobox protein 1,NCBIGene:16869
ENSMUSG00000022505,Emp2,epithelial membrane protein 2,NCBIGene:13731
ENSMUSG00000028464,Tpm2,"tropomyosin 2, beta",NCBIGene:22004
ENSMUSG00000037868,Egr2,early growth response 2,NCBIGene:13654
ENSMUSG00000091705,H2-Q2,"histocompatibility 2, Q region locus 2",NCBIGene:15013
ENSMUSG00000024697,Gna14,"guanine nucleotide binding protein, alpha 14",NCBIGene:14675
ENSMUSG00000049641,Vgll2,vestigial like family member 2,NCBIGene:215031
ENSMUSG00000004085,Map3k20,mitogen-activated protein kinase kinase kinase 20,NCBIGene:65964
ENSMUSG00000000263,Glra1,"glycine receptor, alpha 1 subunit",NCBIGene:14654
ENSMUSG00000026834,Acvr1c,"activin A receptor, type IC",NCBIGene:269275
ENSMUSG00000053025,Sv2b,synaptic vesicle glycoprotein 2 b,NCBIGene:64176
ENSMUSG00000030605,Mfge8,milk fat globule-EGF factor 8 protein,NCBIGene:17304
ENSMUSG00000093472,4930438E09Rik,RIKEN cDNA 4930438E09 gene,NCBIGene:73977
ENSMUSG00000023886,Smoc2,SPARC related modular calcium binding 2,NCBIGene:64074
ENSMUSG00000078952,Lncenc1,"long non-coding RNA, embryonic stem cells expressed 1",NCBIGene:100039691
ENSMUSG00000034486,Gbx2,gastrulation brain homeobox 2,NCBIGene:14472
ENSMUSG00000033717,Adra2a,"adrenergic receptor, alpha 2a",NCBIGene:11551
ENSMUSG00000019935,Slc17a8,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8",NCBIGene:216227
ENSMUSG00000041301,Cftr,cystic fibrosis transmembrane conductance regulator,NCBIGene:12638
ENSMUSG00000076617,Ighm,immunoglobulin heavy constant mu,NCBIGene:16019
ENSMUSG00000026841,Fibcd1,fibrinogen C domain containing 1,NCBIGene:98970
ENSMUSG00000036523,Greb1,gene regulated by estrogen in breast cancer protein,NCBIGene:268527
ENSMUSG00000025094,Slc18a2,"solute carrier family 18 (vesicular monoamine), member 2",NCBIGene:214084
ENSMUSG00000028753,Vwa5b1,von Willebrand factor A domain containing 5B1,NCBIGene:75718
ENSMUSG00000041731,Pgm5,phosphoglucomutase 5,NCBIGene:226041
ENSMUSG00000075296,Aldh3b2,"aldehyde dehydrogenase 3 family, member B2",NCBIGene:621603
ENSMUSG00000008575,Nfib,nuclear factor I/B,NCBIGene:18028
ENSMUSG00000056306,Sertm1,serine rich and transmembrane domain containing 1,NCBIGene:329641
ENSMUSG00000024526,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A",NCBIGene:12683
ENSMUSG00000022148,Fyb,FYN binding protein,NCBIGene:23880
ENSMUSG00000005268,Prlr,prolactin receptor,NCBIGene:19116
ENSMUSG00000036036,Zfp57,zinc finger protein 57,NCBIGene:22715
ENSMUSG00000035021,Baz1a,bromodomain adjacent to zinc finger domain 1A,NCBIGene:217578
ENSMUSG00000024014,Pim1,proviral integration site 1,NCBIGene:18712
ENSMUSG00000035637,Grhpr,glyoxylate reductase/hydroxypyruvate reductase,NCBIGene:76238
ENSMUSG00000102362,4930509J09Rik,RIKEN cDNA 4930509J09 gene,NCBIGene:74693
ENSMUSG00000074607,Tox2,TOX high mobility group box family member 2,NCBIGene:269389
ENSMUSG00000037593,Rskr,ribosomal protein S6 kinase related,
ENSMUSG00000090063,Dlx6os1,"distal-less homeobox 6, opposite strand 1",
ENSMUSG00000044167,Foxo1,forkhead box O1,NCBIGene:56458
ENSMUSG00000033491,Prss35,"protease, serine 35",NCBIGene:244954
ENSMUSG00000074622,Mafb,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)",NCBIGene:16658
ENSMUSG00000068196,Col8a1,"collagen, type VIII, alpha 1",NCBIGene:12837
ENSMUSG00000048327,Ckap2l,cytoskeleton associated protein 2-like,NCBIGene:70466
ENSMUSG00000029086,Prom1,prominin 1,NCBIGene:19126
ENSMUSG00000020396,Nefh,"neurofilament, heavy polypeptide",NCBIGene:380684
ENSMUSG00000062077,Trim54,tripartite motif-containing 54,NCBIGene:58522
ENSMUSG00000027577,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",NCBIGene:11438
ENSMUSG00000053129,Gsx1,GS homeobox 1,NCBIGene:14842
ENSMUSG00000035528,Npffr2,neuropeptide FF receptor 2,NCBIGene:104443
ENSMUSG00000084890,A830036E02Rik,RIKEN cDNA A830036E02 gene,NCBIGene:353123
ENSMUSG00000034361,Cpne2,copine II,NCBIGene:234577
ENSMUSG00000070687,Htr1d,5-hydroxytryptamine (serotonin) receptor 1D,NCBIGene:15552
ENSMUSG00000005148,Klf5,Kruppel-like factor 5,NCBIGene:12224
ENSMUSG00000026322,Htr4,5 hydroxytryptamine (serotonin) receptor 4,NCBIGene:15562
ENSMUSG00000048349,Pou4f1,"POU domain, class 4, transcription factor 1",NCBIGene:18996
ENSMUSG00000026475,Rgs16,regulator of G-protein signaling 16,NCBIGene:19734
ENSMUSG00000021091,Serpina3n,"serine (or cysteine) peptidase inhibitor, clade A, member 3N",NCBIGene:20716
ENSMUSG00000033581,Igf2bp2,insulin-like growth factor 2 mRNA binding protein 2,NCBIGene:319765
ENSMUSG00000033007,Asic4,acid-sensing (proton-gated) ion channel family member 4,NCBIGene:241118
ENSMUSG00000056494,Cngb3,cyclic nucleotide gated channel beta 3,NCBIGene:30952
ENSMUSG00000031932,Gpr83,G protein-coupled receptor 83,NCBIGene:14608
ENSMUSG00000036760,Kcnk9,"potassium channel, subfamily K, member 9",NCBIGene:223604
ENSMUSG00000032017,Grik4,"glutamate receptor, ionotropic, kainate 4",NCBIGene:110637
ENSMUSG00000034185,6430628N08Rik,RIKEN cDNA 6430628N08 gene,NCBIGene:76237
ENSMUSG00000059187,Tafa1,TAFA chemokine like family member 1,NCBIGene:320265
ENSMUSG00000067578,Cbln4,cerebellin 4 precursor protein,NCBIGene:228942
